example_id,complex_name,path,generated_chain,context_chain
ame:1ecm__1__2.A_2.B__2.C,1ecm__1__2.A_2.B__2.C,structures/ame/1ecm__1__2.A_2.B__2.C.cif,"2.B,2.A","2.B,2.A"
ame:1efy__1__1.A__1.B,1efy__1__1.A__1.B,structures/ame/1efy__1__1.A__1.B.cif,1.A,1.A
ame:1ek1__1__1.A__1.C,1ek1__1__1.A__1.C,structures/ame/1ek1__1__1.A__1.C.cif,1.A,1.A
ame:1ek2__1__1.B__1.D,1ek2__1__1.B__1.D,structures/ame/1ek2__1__1.B__1.D.cif,1.B,1.B
ame:1ek8__1__1.A__1.E,1ek8__1__1.A__1.E,structures/ame/1ek8__1__1.A__1.E.cif,1.A,1.A
ame:1ewj__4__1.G_1.H__1.P,1ewj__4__1.G_1.H__1.P,structures/ame/1ewj__4__1.G_1.H__1.P.cif,"1.G,1.H","1.G,1.H"
ame:1ex9__1__1.A__1.C,1ex9__1__1.A__1.C,structures/ame/1ex9__1__1.A__1.C.cif,1.A,1.A
ame:1exf__1__1.A__1.B,1exf__1__1.A__1.B,structures/ame/1exf__1__1.A__1.B.cif,1.A,1.A
ame:1exi__1__2.B__2.E,1exi__1__2.B__2.E,structures/ame/1exi__1__2.B__2.E.cif,2.B,2.B
ame:1exj__1__2.B__2.E,1exj__1__2.B__2.E,structures/ame/1exj__1__2.B__2.E.cif,2.B,2.B
ame:1ezf__1__1.A__1.D,1ezf__1__1.A__1.D,structures/ame/1ezf__1__1.A__1.D.cif,1.A,1.A
ame:1ezv__1__1.C__1.L,1ezv__1__1.C__1.L,structures/ame/1ezv__1__1.C__1.L.cif,1.C,1.C
ame:1fcv__1__1.A__1.B,1fcv__1__1.A__1.B,structures/ame/1fcv__1__1.A__1.B.cif,1.A,1.A
ame:1ffy__1__1.B__1.P,1ffy__1__1.B__1.P,structures/ame/1ffy__1__1.B__1.P.cif,1.B,1.B
ame:1fk7__1__1.A__1.B,1fk7__1__1.A__1.B,structures/ame/1fk7__1__1.A__1.B.cif,1.A,1.A
ame:1ft4__1__1.A__1.C,1ft4__1__1.A__1.C,structures/ame/1ft4__1__1.A__1.C.cif,1.A,1.A
ame:1fui__3__1.E_1.F__1.S,1fui__3__1.E_1.F__1.S,structures/ame/1fui__3__1.E_1.F__1.S.cif,"1.E,1.F","1.E,1.F"
ame:1gsz__1__1.A__1.E,1gsz__1__1.A__1.E,structures/ame/1gsz__1__1.A__1.E.cif,1.A,1.A
ame:1gsz__2__1.B__1.G,1gsz__2__1.B__1.G,structures/ame/1gsz__2__1.B__1.G.cif,1.B,1.B
ame:1gsz__2__2.A__2.E,1gsz__2__2.A__2.E,structures/ame/1gsz__2__2.A__2.E.cif,2.A,2.A
ame:1gsz__3__2.C__2.I,1gsz__3__2.C__2.I,structures/ame/1gsz__3__2.C__2.I.cif,2.C,2.C
ame:1gul__4__1.G_1.H__1.P,1gul__4__1.G_1.H__1.P,structures/ame/1gul__4__1.G_1.H__1.P.cif,"1.G,1.H","1.G,1.H"
ame:1gzl__1__3.C__3.G,1gzl__1__3.C__3.G,structures/ame/1gzl__1__3.C__3.G.cif,3.C,3.C
ame:1h11__1__1.A__1.B,1h11__1__1.A__1.B,structures/ame/1h11__1__1.A__1.B.cif,1.A,1.A
ame:1h2j__1__1.A__1.B,1h2j__1__1.A__1.B,structures/ame/1h2j__1__1.A__1.B.cif,1.A,1.A
ame:1h35__2__1.B__1.G,1h35__2__1.B__1.G,structures/ame/1h35__2__1.B__1.G.cif,1.B,1.B
ame:1h35__2__2.A__2.E,1h35__2__2.A__2.E,structures/ame/1h35__2__2.A__2.E.cif,2.A,2.A
ame:1h35__3__1.C__1.I,1h35__3__1.C__1.I,structures/ame/1h35__3__1.C__1.I.cif,1.C,1.C
ame:1h35__3__2.C__2.I,1h35__3__2.C__2.I,structures/ame/1h35__3__2.C__2.I.cif,2.C,2.C
ame:1h36__1__1.A__1.E,1h36__1__1.A__1.E,structures/ame/1h36__1__1.A__1.E.cif,1.A,1.A
ame:1h36__1__2.B__2.G,1h36__1__2.B__2.G,structures/ame/1h36__1__2.B__2.G.cif,2.B,2.B
ame:1h36__2__1.B__1.G,1h36__2__1.B__1.G,structures/ame/1h36__2__1.B__1.G.cif,1.B,1.B
ame:1h36__2__2.A__2.E,1h36__2__2.A__2.E,structures/ame/1h36__2__2.A__2.E.cif,2.A,2.A
ame:1h36__3__1.C__1.I,1h36__3__1.C__1.I,structures/ame/1h36__3__1.C__1.I.cif,1.C,1.C
ame:1h36__3__2.C__2.I,1h36__3__2.C__2.I,structures/ame/1h36__3__2.C__2.I.cif,2.C,2.C
ame:1h37__1__1.A__1.E,1h37__1__1.A__1.E,structures/ame/1h37__1__1.A__1.E.cif,1.A,1.A
ame:1h37__1__2.B__2.G,1h37__1__2.B__2.G,structures/ame/1h37__1__2.B__2.G.cif,2.B,2.B
ame:1h37__2__1.B__1.G,1h37__2__1.B__1.G,structures/ame/1h37__2__1.B__1.G.cif,1.B,1.B
ame:1h37__2__2.A__2.E,1h37__2__2.A__2.E,structures/ame/1h37__2__2.A__2.E.cif,2.A,2.A
ame:1h37__3__1.C__1.I,1h37__3__1.C__1.I,structures/ame/1h37__3__1.C__1.I.cif,1.C,1.C
ame:1h37__3__2.C__2.I,1h37__3__2.C__2.I,structures/ame/1h37__3__2.C__2.I.cif,2.C,2.C
ame:1h39__1__1.A__1.E,1h39__1__1.A__1.E,structures/ame/1h39__1__1.A__1.E.cif,1.A,1.A
ame:1h39__1__2.B__2.G,1h39__1__2.B__2.G,structures/ame/1h39__1__2.B__2.G.cif,2.B,2.B
ame:1h39__2__1.B__1.G,1h39__2__1.B__1.G,structures/ame/1h39__2__1.B__1.G.cif,1.B,1.B
ame:1h39__2__2.A__2.E,1h39__2__2.A__2.E,structures/ame/1h39__2__2.A__2.E.cif,2.A,2.A
ame:1h39__3__2.C__2.I,1h39__3__2.C__2.I,structures/ame/1h39__3__2.C__2.I.cif,2.C,2.C
ame:1h3a__1__2.B__2.G,1h3a__1__2.B__2.G,structures/ame/1h3a__1__2.B__2.G.cif,2.B,2.B
ame:1h3a__2__1.B__1.G,1h3a__2__1.B__1.G,structures/ame/1h3a__2__1.B__1.G.cif,1.B,1.B
ame:1h3a__2__2.A__2.E,1h3a__2__2.A__2.E,structures/ame/1h3a__2__2.A__2.E.cif,2.A,2.A
ame:1h3a__3__2.C__2.I,1h3a__3__2.C__2.I,structures/ame/1h3a__3__2.C__2.I.cif,2.C,2.C
ame:1h3b__1__2.B__2.G,1h3b__1__2.B__2.G,structures/ame/1h3b__1__2.B__2.G.cif,2.B,2.B
ame:1h3b__2__1.B__1.G,1h3b__2__1.B__1.G,structures/ame/1h3b__2__1.B__1.G.cif,1.B,1.B
ame:1h3b__2__2.A__2.E,1h3b__2__2.A__2.E,structures/ame/1h3b__2__2.A__2.E.cif,2.A,2.A
ame:1h3b__3__1.C__1.I,1h3b__3__1.C__1.I,structures/ame/1h3b__3__1.C__1.I.cif,1.C,1.C
ame:1h3b__3__2.C__2.I,1h3b__3__2.C__2.I,structures/ame/1h3b__3__2.C__2.I.cif,2.C,2.C
ame:1h3c__1__1.A__1.E,1h3c__1__1.A__1.E,structures/ame/1h3c__1__1.A__1.E.cif,1.A,1.A
ame:1h3c__1__2.B__2.G,1h3c__1__2.B__2.G,structures/ame/1h3c__1__2.B__2.G.cif,2.B,2.B
ame:1h3c__2__1.B__1.G,1h3c__2__1.B__1.G,structures/ame/1h3c__2__1.B__1.G.cif,1.B,1.B
ame:1h3c__2__2.A__2.E,1h3c__2__2.A__2.E,structures/ame/1h3c__2__2.A__2.E.cif,2.A,2.A
ame:1h3c__3__1.C__1.I,1h3c__3__1.C__1.I,structures/ame/1h3c__3__1.C__1.I.cif,1.C,1.C
ame:1h3c__3__2.C__2.I,1h3c__3__2.C__2.I,structures/ame/1h3c__3__2.C__2.I.cif,2.C,2.C
ame:1h5v__1__1.A__1.B,1h5v__1__1.A__1.B,structures/ame/1h5v__1__1.A__1.B.cif,1.A,1.A
ame:1h9x__1__1.A__1.D,1h9x__1__1.A__1.D,structures/ame/1h9x__1__1.A__1.D.cif,1.A,1.A
ame:1h9x__1__1.B__1.E,1h9x__1__1.B__1.E,structures/ame/1h9x__1__1.B__1.E.cif,1.B,1.B
ame:1h9y__1__1.B__1.G,1h9y__1__1.B__1.G,structures/ame/1h9y__1__1.B__1.G.cif,1.B,1.B
ame:1hcm__1__1.B__1.F,1hcm__1__1.B__1.F,structures/ame/1hcm__1__1.B__1.F.cif,1.B,1.B
ame:1hf6__1__1.A__1.B,1hf6__1__1.A__1.B,structures/ame/1hf6__1__1.A__1.B.cif,1.A,1.A
ame:1hj3__1__1.A__1.D,1hj3__1__1.A__1.D,structures/ame/1hj3__1__1.A__1.D.cif,1.A,1.A
ame:1hj3__1__1.B__1.G,1hj3__1__1.B__1.G,structures/ame/1hj3__1__1.B__1.G.cif,1.B,1.B
ame:1hj4__1__1.A__1.C,1hj4__1__1.A__1.C,structures/ame/1hj4__1__1.A__1.C.cif,1.A,1.A
ame:1hj4__1__1.A__1.D,1hj4__1__1.A__1.D,structures/ame/1hj4__1__1.A__1.D.cif,1.A,1.A
ame:1hj5__1__1.B__1.K,1hj5__1__1.B__1.K,structures/ame/1hj5__1__1.B__1.K.cif,1.B,1.B
ame:1hnn__2__1.B__1.E,1hnn__2__1.B__1.E,structures/ame/1hnn__2__1.B__1.E.cif,1.B,1.B
ame:1hnn__2__1.B__1.F,1hnn__2__1.B__1.F,structures/ame/1hnn__2__1.B__1.F.cif,1.B,1.B
ame:1hqd__1__1.A__1.C,1hqd__1__1.A__1.C,structures/ame/1hqd__1__1.A__1.C.cif,1.A,1.A
ame:1hv6__1__1.A__1.B,1hv6__1__1.A__1.B,structures/ame/1hv6__1__1.A__1.B.cif,1.A,1.A
ame:1hzl__1__1.A__1.B,1hzl__1__1.A__1.B,structures/ame/1hzl__1__1.A__1.B.cif,1.A,1.A
ame:1i6k__1__2.A__2.J,1i6k__1__2.A__2.J,structures/ame/1i6k__1__2.A__2.J.cif,2.A,2.A
ame:1i6m__1__2.A__2.J,1i6m__1__2.A__2.J,structures/ame/1i6m__1__2.A__2.J.cif,2.A,2.A
ame:1i8n__1__1.A__1.D,1i8n__1__1.A__1.D,structures/ame/1i8n__1__1.A__1.D.cif,1.A,1.A
ame:1it8__1__1.A__1.E,1it8__1__1.A__1.E,structures/ame/1it8__1__1.A__1.E.cif,1.A,1.A
ame:1j0b__11__1.V__1.TA,1j0b__11__1.V__1.TA,structures/ame/1j0b__11__1.V__1.TA.cif,1.V,1.V
ame:1j0c__1__1.B__1.F,1j0c__1__1.B__1.F,structures/ame/1j0c__1__1.B__1.F.cif,1.B,1.B
ame:1j0d__1__1.A__1.E,1j0d__1__1.A__1.E,structures/ame/1j0d__1__1.A__1.E.cif,1.A,1.A
ame:1j0n__1__1.A__1.B,1j0n__1__1.A__1.B,structures/ame/1j0n__1__1.A__1.B.cif,1.A,1.A
ame:1j5i__1__1.A__1.B,1j5i__1__1.A__1.B,structures/ame/1j5i__1__1.A__1.B.cif,1.A,1.A
ame:1jbw__1__1.A__1.E,1jbw__1__1.A__1.E,structures/ame/1jbw__1__1.A__1.E.cif,1.A,1.A
ame:1jh7__1__1.A__1.F,1jh7__1__1.A__1.F,structures/ame/1jh7__1__1.A__1.F.cif,1.A,1.A
ame:1jhp__1__1.A_2.A__1.D,1jhp__1__1.A_2.A__1.D,structures/ame/1jhp__1__1.A_2.A__1.D.cif,"1.A,2.A","1.A,2.A"
ame:1jie__1__1.A_1.B__1.C,1jie__1__1.A_1.B__1.C,structures/ame/1jie__1__1.A_1.B__1.C.cif,"1.A,1.B","1.A,1.B"
ame:1jii__2__2.A__2.B,1jii__2__2.A__2.B,structures/ame/1jii__2__2.A__2.B.cif,2.A,2.A
ame:1jij__2__2.A__2.B,1jij__2__2.A__2.B,structures/ame/1jij__2__2.A__2.B.cif,2.A,2.A
ame:1jik__2__2.A__2.B,1jik__2__2.A__2.B,structures/ame/1jik__2__2.A__2.B.cif,2.A,2.A
ame:1jil__1__2.A__2.B,1jil__1__2.A__2.B,structures/ame/1jil__1__2.A__2.B.cif,2.A,2.A
ame:1jp3__1__1.A__1.C,1jp3__1__1.A__1.C,structures/ame/1jp3__1__1.A__1.C.cif,1.A,1.A
ame:1js8__1__1.A__1.C,1js8__1__1.A__1.C,structures/ame/1js8__1__1.A__1.C.cif,1.A,1.A
ame:1js8__1__1.A__1.F,1js8__1__1.A__1.F,structures/ame/1js8__1__1.A__1.F.cif,1.A,1.A
ame:1js8__2__1.B__1.D,1js8__2__1.B__1.D,structures/ame/1js8__2__1.B__1.D.cif,1.B,1.B
ame:1js8__2__1.B__1.E,1js8__2__1.B__1.E,structures/ame/1js8__2__1.B__1.E.cif,1.B,1.B
ame:1k9f__1__1.A__1.B,1k9f__1__1.A__1.B,structures/ame/1k9f__1__1.A__1.B.cif,1.A,1.A
ame:1kb9__1__1.C__1.N,1kb9__1__1.C__1.N,structures/ame/1kb9__1__1.C__1.N.cif,1.C,1.C
ame:1kb9__1__1.C__1.P,1kb9__1__1.C__1.P,structures/ame/1kb9__1__1.C__1.P.cif,1.C,1.C
ame:1kf6__3__1.F_1.G_1.H__1.Z,1kf6__3__1.F_1.G_1.H__1.Z,structures/ame/1kf6__3__1.F_1.G_1.H__1.Z.cif,"1.F,1.G,1.H","1.F,1.G,1.H"
ame:1kfy__1__1.B_1.C_1.D__1.N,1kfy__1__1.B_1.C_1.D__1.N,structures/ame/1kfy__1__1.B_1.C_1.D__1.N.cif,"1.B,1.C,1.D","1.B,1.C,1.D"
ame:1kmm__2__1.D__1.H,1kmm__2__1.D__1.H,structures/ame/1kmm__2__1.D__1.H.cif,1.D,1.D
ame:1ktw__1__1.A__1.C,1ktw__1__1.A__1.C,structures/ame/1ktw__1__1.A__1.C.cif,1.A,1.A
ame:1ktw__1__1.A__1.D,1ktw__1__1.A__1.D,structures/ame/1ktw__1__1.A__1.D.cif,1.A,1.A
ame:1kyo__1__1.N__1.DA,1kyo__1__1.N__1.DA,structures/ame/1kyo__1__1.N__1.DA.cif,1.N,1.N
ame:1kyy__2__1.B_1.C__1.K,1kyy__2__1.B_1.C__1.K,structures/ame/1kyy__2__1.B_1.C__1.K.cif,"1.C,1.B","1.C,1.B"
ame:1l0v__3__1.G_1.H__1.Z,1l0v__3__1.G_1.H__1.Z,structures/ame/1l0v__3__1.G_1.H__1.Z.cif,"1.G,1.H","1.G,1.H"
ame:1l4e__1__1.A_2.A__1.B,1l4e__1__1.A_2.A__1.B,structures/ame/1l4e__1__1.A_2.A__1.B.cif,"1.A,2.A","1.A,2.A"
ame:1l8l__1__1.A__1.C,1l8l__1__1.A__1.C,structures/ame/1l8l__1__1.A__1.C.cif,1.A,1.A
ame:1lhw__1__2.A__2.C,1lhw__1__2.A__2.C,structures/ame/1lhw__1__2.A__2.C.cif,2.A,2.A
ame:1lke__1__1.A__1.B,1lke__1__1.A__1.B,structures/ame/1lke__1__1.A__1.B.cif,1.A,1.A
ame:1lnm__1__1.A__1.B,1lnm__1__1.A__1.B,structures/ame/1lnm__1__1.A__1.B.cif,1.A,1.A
ame:1lsp__1__1.A__1.B,1lsp__1__1.A__1.B,structures/ame/1lsp__1__1.A__1.B.cif,1.A,1.A
ame:1m18__1__1.I__1.O,1m18__1__1.I__1.O,structures/ame/1m18__1__1.I__1.O.cif,1.I,1.I
ame:1m51__1__1.A__1.D,1m51__1__1.A__1.D,structures/ame/1m51__1__1.A__1.D.cif,1.A,1.A
ame:1m5w__1__1.B_1.G__1.P,1m5w__1__1.B_1.G__1.P,structures/ame/1m5w__1__1.B_1.G__1.P.cif,"1.B,1.G","1.B,1.G"
ame:1maw__3__1.F__1.L,1maw__3__1.F__1.L,structures/ame/1maw__3__1.F__1.L.cif,1.F,1.F
ame:1mb2__1__1.A__1.G,1mb2__1__1.A__1.G,structures/ame/1mb2__1__1.A__1.G.cif,1.A,1.A
ame:1mbu__2__1.B__1.J,1mbu__2__1.B__1.J,structures/ame/1mbu__2__1.B__1.J.cif,1.B,1.B
ame:1mbu__2__1.D__1.L,1mbu__2__1.D__1.L,structures/ame/1mbu__2__1.D__1.L.cif,1.D,1.D
ame:1mbx__2__1.B__1.L,1mbx__2__1.B__1.L,structures/ame/1mbx__2__1.B__1.L.cif,1.B,1.B
ame:1mka__1__1.A_1.B__1.C,1mka__1__1.A_1.B__1.C,structures/ame/1mka__1__1.A_1.B__1.C.cif,"1.A,1.B","1.A,1.B"
ame:1mo9__1__1.A_1.B__1.D,1mo9__1__1.A_1.B__1.D,structures/ame/1mo9__1__1.A_1.B__1.D.cif,"1.A,1.B","1.A,1.B"
ame:1mo9__1__1.A_1.B__1.E,1mo9__1__1.A_1.B__1.E,structures/ame/1mo9__1__1.A_1.B__1.E.cif,"1.A,1.B","1.A,1.B"
ame:1n0u__1__1.A__1.B,1n0u__1__1.A__1.B,structures/ame/1n0u__1__1.A__1.B.cif,1.A,1.A
ame:1n50__1__1.A_1.B__1.D,1n50__1__1.A_1.B__1.D,structures/ame/1n50__1__1.A_1.B__1.D.cif,"1.B,1.A","1.B,1.A"
ame:1n7i__1__1.A__1.C,1n7i__1__1.A__1.C,structures/ame/1n7i__1__1.A__1.C.cif,1.A,1.A
ame:1n7j__1__1.A__1.C,1n7j__1__1.A__1.C,structures/ame/1n7j__1__1.A__1.C.cif,1.A,1.A
ame:1nco__1__1.A_1.B__1.D,1nco__1__1.A_1.B__1.D,structures/ame/1nco__1__1.A_1.B__1.D.cif,"1.A,1.B","1.A,1.B"
ame:1ndv__1__1.A__1.C,1ndv__1__1.A__1.C,structures/ame/1ndv__1__1.A__1.C.cif,1.A,1.A
ame:1ndw__1__1.A__1.C,1ndw__1__1.A__1.C,structures/ame/1ndw__1__1.A__1.C.cif,1.A,1.A
ame:1ndy__1__1.A__1.C,1ndy__1__1.A__1.C,structures/ame/1ndy__1__1.A__1.C.cif,1.A,1.A
ame:1ndz__1__1.A__1.C,1ndz__1__1.A__1.C,structures/ame/1ndz__1__1.A__1.C.cif,1.A,1.A
ame:1nfv__2__3.D__3.RA,1nfv__2__3.D__3.RA,structures/ame/1nfv__2__3.D__3.RA.cif,3.D,3.D
ame:1nhx__1__1.A__1.E,1nhx__1__1.A__1.E,structures/ame/1nhx__1__1.A__1.E.cif,1.A,1.A
ame:1nqh__1__1.A__1.F,1nqh__1__1.A__1.F,structures/ame/1nqh__1__1.A__1.F.cif,1.A,1.A
ame:1nqv__1__11.C_11.D__11.K,1nqv__1__11.C_11.D__11.K,structures/ame/1nqv__1__11.C_11.D__11.K.cif,"11.C,11.D","11.C,11.D"
ame:1nqw__1__6.C_6.D__6.H,1nqw__1__6.C_6.D__6.H,structures/ame/1nqw__1__6.C_6.D__6.H.cif,"6.C,6.D","6.C,6.D"
ame:1nx9__1__1.C__1.I,1nx9__1__1.C__1.I,structures/ame/1nx9__1__1.C__1.I.cif,1.C,1.C
ame:1o5p__1__1.A__1.B,1o5p__1__1.A__1.B,structures/ame/1o5p__1__1.A__1.B.cif,1.A,1.A
ame:1o5r__1__1.A__1.C,1o5r__1__1.A__1.C,structures/ame/1o5r__1__1.A__1.C.cif,1.A,1.A
ame:1o6e__1__2.B__2.D,1o6e__1__2.B__2.D,structures/ame/1o6e__1__2.B__2.D.cif,2.B,2.B
ame:1o6h__1__1.A__1.E,1o6h__1__1.A__1.E,structures/ame/1o6h__1__1.A__1.E.cif,1.A,1.A
ame:1o6h__1__2.B__2.G,1o6h__1__2.B__2.G,structures/ame/1o6h__1__2.B__2.G.cif,2.B,2.B
ame:1o6h__2__2.A__2.E,1o6h__2__2.A__2.E,structures/ame/1o6h__2__2.A__2.E.cif,2.A,2.A
ame:1o6h__3__1.C__1.I,1o6h__3__1.C__1.I,structures/ame/1o6h__3__1.C__1.I.cif,1.C,1.C
ame:1o6h__3__2.C__2.I,1o6h__3__2.C__2.I,structures/ame/1o6h__3__2.C__2.I.cif,2.C,2.C
ame:1o6q__1__1.A__1.E,1o6q__1__1.A__1.E,structures/ame/1o6q__1__1.A__1.E.cif,1.A,1.A
ame:1o6q__2__2.A__2.E,1o6q__2__2.A__2.E,structures/ame/1o6q__2__2.A__2.E.cif,2.A,2.A
ame:1o6q__3__1.C__1.I,1o6q__3__1.C__1.I,structures/ame/1o6q__3__1.C__1.I.cif,1.C,1.C
ame:1o6q__3__2.C__2.I,1o6q__3__2.C__2.I,structures/ame/1o6q__3__2.C__2.I.cif,2.C,2.C
ame:1o6r__1__1.A__1.E,1o6r__1__1.A__1.E,structures/ame/1o6r__1__1.A__1.E.cif,1.A,1.A
ame:1o6r__1__2.B__2.G,1o6r__1__2.B__2.G,structures/ame/1o6r__1__2.B__2.G.cif,2.B,2.B
ame:1o6r__2__1.B__1.G,1o6r__2__1.B__1.G,structures/ame/1o6r__2__1.B__1.G.cif,1.B,1.B
ame:1o6r__2__2.A__2.E,1o6r__2__2.A__2.E,structures/ame/1o6r__2__2.A__2.E.cif,2.A,2.A
ame:1o6r__3__1.C__1.I,1o6r__3__1.C__1.I,structures/ame/1o6r__3__1.C__1.I.cif,1.C,1.C
ame:1o6r__3__2.C__2.I,1o6r__3__2.C__2.I,structures/ame/1o6r__3__2.C__2.I.cif,2.C,2.C
ame:1o79__1__1.A__1.E,1o79__1__1.A__1.E,structures/ame/1o79__1__1.A__1.E.cif,1.A,1.A
ame:1o79__1__2.B__2.G,1o79__1__2.B__2.G,structures/ame/1o79__1__2.B__2.G.cif,2.B,2.B
ame:1o79__2__2.A__2.E,1o79__2__2.A__2.E,structures/ame/1o79__2__2.A__2.E.cif,2.A,2.A
ame:1o79__3__1.C__1.I,1o79__3__1.C__1.I,structures/ame/1o79__3__1.C__1.I.cif,1.C,1.C
ame:1o79__3__2.C__2.I,1o79__3__2.C__2.I,structures/ame/1o79__3__2.C__2.I.cif,2.C,2.C
ame:1of4__1__1.A__1.B,1of4__1__1.A__1.B,structures/ame/1of4__1__1.A__1.B.cif,1.A,1.A
ame:1oh4__1__1.A__1.B,1oh4__1__1.A__1.B,structures/ame/1oh4__1__1.A__1.B.cif,1.A,1.A
ame:1oip__1__1.A__1.D,1oip__1__1.A__1.D,structures/ame/1oip__1__1.A__1.D.cif,1.A,1.A
ame:1oxm__1__1.A__1.C,1oxm__1__1.A__1.C,structures/ame/1oxm__1__1.A__1.C.cif,1.A,1.A
ame:1p4a__1__1.A_1.B__1.E,1p4a__1__1.A_1.B__1.E,structures/ame/1p4a__1__1.A_1.B__1.E.cif,"1.A,1.B","1.A,1.B"
ame:1p4r__1__1.A_1.B__1.F,1p4r__1__1.A_1.B__1.F,structures/ame/1p4r__1__1.A_1.B__1.F.cif,"1.A,1.B","1.A,1.B"
